group_name;external_id;discipline;term;pair_kind;hours;department_name;education_form;faculty;direction;course;specialization;kind_of_sport
МП-15-24/з;000011852;Актуальные проблемы в системе научных знаний о спорте;Летняя сессия второго курса;Лекции;2;Кафедра теоретико-методических основ физической культуры и спорта;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Актуальные проблемы в системе научных знаний о спорте;Летняя сессия второго курса;Практические занятия;14;Кафедра теоретико-методических основ физической культуры и спорта;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Допинг в спорте;Летняя сессия второго курса;Лекции;6;Кафедра спортивной медицины;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Допинг в спорте;Летняя сессия второго курса;Практические занятия;12;Кафедра спортивной медицины;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Культура библиографического поиска информационных источников;Летняя сессия второго курса;Лекции;4;Кафедра рекламы, связей с общественностью и социально-гуманитарных проблем;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Культура библиографического поиска информационных источников;Летняя сессия второго курса;Практические занятия;6;Кафедра рекламы, связей с общественностью и социально-гуманитарных проблем;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Культура речи и методика делового общения;Летняя сессия второго курса;Лекции;4;Кафедра иностранных языков и лингвистики;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Культура речи и методика делового общения;Летняя сессия второго курса;Практические занятия;6;Кафедра иностранных языков и лингвистики;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Современные методы анализа данных;Летняя сессия второго курса;Лекции;4;Кафедра биомеханики и естественнонаучных дисциплин;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Современные методы анализа данных;Летняя сессия второго курса;Практические занятия;6;Кафедра биомеханики и естественнонаучных дисциплин;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Спортивная медицина;Летняя сессия второго курса;Лекции;8;Кафедра спортивной медицины;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Спортивная медицина;Летняя сессия второго курса;Практические занятия;18;Кафедра спортивной медицины;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
МП-15-24/з;000011852;Технологии обучения в системе подготовки физкультурных кадров;Летняя сессия второго курса;Лекции;4;Кафедра педагогики;Заочная;Факультет магистерской подготовки;Спорт;2;Спортивная нутрициология;
